variable,dtype,n_total,n_valid,n_missing,missing_pct,n_unique,question_id,platform,concept,role,universe,structural_missing,candidate,selection_reason,final_status,exclusion_reason,eligible_n,valid_response_n,special_n,eligible_missing_n,eligible_missing_pct,routing_violation_n
IGWHY_c_W144,float64,10454,4515,5939,56.81,4,IGWHY,Instagram,Sports or pop culture,Outcome,Respondents eligible for Instagram module,Yes,Yes,Measures motivation for using the platform; comparable across platforms,INCLUDE,,4515,4496,19,0,0.0,0
IGWHY_d_W144,float64,10454,4515,5939,56.81,4,IGWHY,Instagram,Entertainment,Outcome,Respondents eligible for Instagram module,Yes,Yes,Measures motivation for using the platform; comparable across platforms,INCLUDE,,4515,4496,19,0,0.0,0
IGWHY_e_W144,float64,10454,4515,5939,56.81,4,IGWHY,Instagram,Friends and family,Outcome,Respondents eligible for Instagram module,Yes,Yes,Measures motivation for using the platform; comparable across platforms,INCLUDE,,4515,4501,14,0,0.0,0
IGWHY_f_W144,float64,10454,4515,5939,56.81,4,IGWHY,Instagram,Shared interests,Outcome,Respondents eligible for Instagram module,Yes,Yes,Measures motivation for using the platform; comparable across platforms,INCLUDE,,4515,4492,23,0,0.0,0
IGWHY_g_W144,float64,10454,4515,5939,56.81,4,IGWHY,Instagram,Product reviews or recommendations,Outcome,Respondents eligible for Instagram module,Yes,Yes,Measures motivation for using the platform; comparable across platforms,INCLUDE,,4515,4501,14,0,0.0,0
IGDEMOCRACY_W144,float64,10454,4515,5939,56.81,4,,,,,,,,,,,,,,,,
IGSOURCE_a_W144,float64,10454,1119,9335,89.3,3,,,,,,,,,,,,,,,,
IGSOURCE_b_W144,float64,10454,1119,9335,89.3,3,,,,,,,,,,,,,,,,
IGSOURCE_c_W144,float64,10454,1119,9335,89.3,3,,,,,,,,,,,,,,,,
IGSOURCE_d_W144,float64,10454,1119,9335,89.3,3,,,,,,,,,,,,,,,,
IGSOURCE_e_W144,float64,10454,1119,9335,89.3,3,,,,,,,,,,,,,,,,
IGTYPE_a_W144,float64,10454,4515,5939,56.81,3,,,,,,,,,,,,,,,,
IGTYPE_b_W144,float64,10454,4515,5939,56.81,3,,,,,,,,,,,,,,,,
IGTYPE_c_W144,float64,10454,4515,5939,56.81,3,,,,,,,,,,,,,,,,
IGTYPE_d_W144,float64,10454,4515,5939,56.81,3,,,,,,,,,,,,,,,,
IGACC_W144,float64,10454,1119,9335,89.3,6,,,,,,,,,,,,,,,,
IGINFLUENCE_W144,float64,10454,1119,9335,89.3,5,,,,,,,,,,,,,,,,
IGELSE_W144,float64,10454,1119,9335,89.3,4,,,,,,,,,,,,,,,,
IGWORN_W144,float64,10454,1119,9335,89.3,6,,,,,,,,,,,,,,,,
IGHARASS_W144,float64,10454,4515,5939,56.81,4,,,,,,,,,,,,,,,,
IGSHARE_W144,float64,10454,4515,5939,56.81,3,,,,,,,,,,,,,,,,
IGSHAREPOL_W144,float64,10454,2599,7855,75.14,6,,,,,,,,,,,,,,,,
IGWHYSP_a_W144,float64,10454,748,9706,92.84,4,,,,,,,,,,,,,,,,
IGWHYSP_b_W144,float64,10454,748,9706,92.84,4,,,,,,,,,,,,,,,,
IGWHYSP_c_W144,float64,10454,748,9706,92.84,4,,,,,,,,,,,,,,,,
IGWHYSP_d_W144,float64,10454,748,9706,92.84,4,,,,,,,,,,,,,,,,
IGWHYNTSP_a_W144,float64,10454,1849,8605,82.31,4,,,,,,,,,,,,,,,,
IGWHYNTSP_b_W144,float64,10454,1849,8605,82.31,4,,,,,,,,,,,,,,,,
IGWHYNTSP_c_W144,float64,10454,1849,8605,82.31,4,,,,,,,,,,,,,,,,
IGWHYNTSP_d_W144,float64,10454,1849,8605,82.31,4,,,,,,,,,,,,,,,,
IGSEEPOL_W144,float64,10454,4515,5939,56.81,6,,,,,,,,,,,,,,,,
IGPOLIDEO_W144,float64,10454,3303,7151,68.4,5,,,,,,,,,,,,,,,,
IGFREEEXP_W144,float64,10454,4515,5939,56.81,3,,,,,,,,,,,,,,,,
XTWHY_a_W144,float64,10454,2565,7889,75.46,4,XTWHY,X,Get news,Outcome,Respondents eligible for X module,Yes,Yes,Measures motivation for using the platform; comparable across platforms,INCLUDE,,2565,2555,10,0,0.0,0
XTWHY_b_W144,float64,10454,2565,7889,75.46,4,XTWHY,X,Politics or political issues,Outcome,Respondents eligible for X module,Yes,Yes,Measures motivation for using the platform; comparable across platforms,INCLUDE,,2565,2554,11,0,0.0,0
XTWHY_c_W144,float64,10454,2565,7889,75.46,4,XTWHY,X,Sports or pop culture,Outcome,Respondents eligible for X module,Yes,Yes,Measures motivation for using the platform; comparable across platforms,INCLUDE,,2565,2555,10,0,0.0,0
XTWHY_d_W144,float64,10454,2565,7889,75.46,4,XTWHY,X,Entertainment,Outcome,Respondents eligible for X module,Yes,Yes,Measures motivation for using the platform; comparable across platforms,INCLUDE,,2565,2551,14,0,0.0,0
XTWHY_e_W144,float64,10454,2565,7889,75.46,4,XTWHY,X,Friends and family,Outcome,Respondents eligible for X module,Yes,Yes,Measures motivation for using the platform; comparable across platforms,INCLUDE,,2565,2557,8,0,0.0,0
XTWHY_f_W144,float64,10454,2565,7889,75.46,4,XTWHY,X,Shared interests,Outcome,Respondents eligible for X module,Yes,Yes,Measures motivation for using the platform; comparable across platforms,INCLUDE,,2565,2557,8,0,0.0,0
XTWHY_g_W144,float64,10454,2565,7889,75.46,4,XTWHY,X,Product reviews or recommendations,Outcome,Respondents eligible for X module,Yes,Yes,Measures motivation for using the platform; comparable across platforms,INCLUDE,,2565,2557,8,0,0.0,0
XTDEMOCRACY_W144,float64,10454,2565,7889,75.46,4,,,,,,,,,,,,,,,,
XTSOURCE_a_W144,float64,10454,1143,9311,89.07,3,,,,,,,,,,,,,,,,
XTSOURCE_b_W144,float64,10454,1143,9311,89.07,3,,,,,,,,,,,,,,,,
