table_id,column,displayed_base,flag
T16,Income | Middle income,1221,OK
T16,Income | Upper income,716,OK
T17,Age | 18-29,316,OK
T17,Age | 30-49,1030,OK
T17,Age | 50-64,755,OK
T17,Age | 65+,449,OK
T17,Gender | A man,1409,OK
T17,Gender | A woman,1115,OK
T17,Gender | In some other way,29**,VERY SMALL BASE
T17,Education | College graduate+,1463,OK
T17,Education | Some College,736,OK
T17,Education | H.S. graduate or less,351,OK
T17,Region | Northeast,421,OK
T17,Region | Midwest,503,OK
T17,Region | South,1090,OK
T17,Region | West,540,OK
T17,Income | Lower income,525,OK
T17,Income | Middle income,1218,OK
T17,Income | Upper income,718,OK
T18,Age | 18-29,316,OK
T18,Age | 30-49,1028,OK
T18,Age | 50-64,755,OK
T18,Age | 65+,447,OK
T18,Gender | A man,1409,OK
T18,Gender | A woman,1111,OK
T18,Gender | In some other way,29**,VERY SMALL BASE
T18,Education | College graduate+,1463,OK
T18,Education | Some College,732,OK
T18,Education | H.S. graduate or less,351,OK
T18,Region | Northeast,422,OK
T18,Region | Midwest,498,OK
T18,Region | South,1091,OK
T18,Region | West,539,OK
T18,Income | Lower income,526,OK
T18,Income | Middle income,1215,OK
T18,Income | Upper income,718,OK
T19,Age | 18-29,315,OK
T19,Age | 30-49,1030,OK
T19,Age | 50-64,756,OK
T19,Age | 65+,451,OK
T19,Gender | A man,1412,OK
T19,Gender | A woman,1115,OK
T19,Gender | In some other way,28**,VERY SMALL BASE
T19,Education | College graduate+,1463,OK
T19,Education | Some College,739,OK
T19,Education | H.S. graduate or less,350,OK
T19,Region | Northeast,420,OK
T19,Region | Midwest,502,OK
T19,Region | South,1093,OK
T19,Region | West,541,OK
T19,Income | Lower income,525,OK
T19,Income | Middle income,1221,OK
T19,Income | Upper income,719,OK
T20,Age | 18-29,315,OK
T20,Age | 30-49,1031,OK
T20,Age | 50-64,757,OK
T20,Age | 65+,449,OK
T20,Gender | A man,1412,OK
T20,Gender | A woman,1114,OK
T20,Gender | In some other way,29**,VERY SMALL BASE
T20,Education | College graduate+,1464,OK
T20,Education | Some College,736,OK
T20,Education | H.S. graduate or less,352,OK
T20,Region | Northeast,422,OK
T20,Region | Midwest,502,OK
T20,Region | South,1091,OK
T20,Region | West,541,OK
T20,Income | Lower income,526,OK
T20,Income | Middle income,1219,OK
T20,Income | Upper income,720,OK
T21,Age | 18-29,315,OK
T21,Age | 30-49,1031,OK
T21,Age | 50-64,755,OK
T21,Age | 65+,451,OK
T21,Gender | A man,1411,OK
T21,Gender | A woman,1115,OK
T21,Gender | In some other way,29**,VERY SMALL BASE
T21,Education | College graduate+,1465,OK
T21,Education | Some College,738,OK
T21,Education | H.S. graduate or less,349,OK
T21,Region | Northeast,422,OK
T21,Region | Midwest,503,OK
T21,Region | South,1091,OK
T21,Region | West,540,OK
T21,Income | Lower income,526,OK
T21,Income | Middle income,1220,OK
T21,Income | Upper income,719,OK
T22,Age | 18-29,419,OK
T22,Age | 30-49,1190,OK
T22,Age | 50-64,670,OK
T22,Age | 65+,266,OK
T22,Gender | A man,786,OK
T22,Gender | A woman,1731,OK
T22,Gender | In some other way,32*,SMALL BASE
T22,Education | College graduate+,1066,OK
T22,Education | Some College,861,OK
T22,Education | H.S. graduate or less,619,OK
T22,Region | Northeast,387,OK
T22,Region | Midwest,481,OK
T22,Region | South,1220,OK
T22,Region | West,464,OK
T22,Income | Lower income,832,OK
T22,Income | Middle income,1149,OK
T22,Income | Upper income,461,OK
T23,Age | 18-29,420,OK
T23,Age | 30-49,1192,OK
T23,Age | 50-64,670,OK
T23,Age | 65+,266,OK
T23,Gender | A man,788,OK
T23,Gender | A woman,1732,OK
T23,Gender | In some other way,32*,SMALL BASE
T23,Education | College graduate+,1066,OK
T23,Education | Some College,864,OK
T23,Education | H.S. graduate or less,619,OK
T23,Region | Northeast,388,OK
T23,Region | Midwest,482,OK
T23,Region | South,1221,OK
T23,Region | West,464,OK
T23,Income | Lower income,834,OK
T23,Income | Middle income,1152,OK
T23,Income | Upper income,459,OK
T24,Age | 18-29,420,OK
T24,Age | 30-49,1192,OK
T24,Age | 50-64,671,OK
T24,Age | 65+,264,OK
T24,Gender | A man,789,OK
T24,Gender | A woman,1730,OK
T24,Gender | In some other way,32*,SMALL BASE
T24,Education | College graduate+,1066,OK
T24,Education | Some College,863,OK
T24,Education | H.S. graduate or less,619,OK
T24,Region | Northeast,387,OK
T24,Region | Midwest,482,OK
T24,Region | South,1221,OK
T24,Region | West,464,OK
T24,Income | Lower income,834,OK
T24,Income | Middle income,1149,OK
T24,Income | Upper income,461,OK
T25,Age | 18-29,419,OK
T25,Age | 30-49,1192,OK
T25,Age | 50-64,671,OK
T25,Age | 65+,265,OK
T25,Gender | A man,788,OK
T25,Gender | A woman,1731,OK
T25,Gender | In some other way,32*,SMALL BASE
T25,Education | College graduate+,1066,OK
T25,Education | Some College,864,OK
T25,Education | H.S. graduate or less,618,OK
T25,Region | Northeast,387,OK
T25,Region | Midwest,481,OK
T25,Region | South,1222,OK
T25,Region | West,464,OK
T25,Income | Lower income,835,OK
T25,Income | Middle income,1149,OK
T25,Income | Upper income,461,OK
T26,Age | 18-29,420,OK
T26,Age | 30-49,1189,OK
T26,Age | 50-64,669,OK
T26,Age | 65+,266,OK
T26,Gender | A man,787,OK
T26,Gender | A woman,1729,OK
T26,Gender | In some other way,32*,SMALL BASE
T26,Education | College graduate+,1066,OK
T26,Education | Some College,862,OK
T26,Education | H.S. graduate or less,617,OK
T26,Region | Northeast,387,OK
T26,Region | Midwest,480,OK
T26,Region | South,1220,OK
T26,Region | West,464,OK
T26,Income | Lower income,833,OK
T26,Income | Middle income,1148,OK
T26,Income | Upper income,461,OK
T27,Age | 18-29,420,OK
T27,Age | 30-49,1189,OK
T27,Age | 50-64,671,OK
T27,Age | 65+,267,OK
T27,Gender | A man,788,OK
T27,Gender | A woman,1731,OK
T27,Gender | In some other way,32*,SMALL BASE
T27,Education | College graduate+,1066,OK
T27,Education | Some College,864,OK
T27,Education | H.S. graduate or less,618,OK
T27,Region | Northeast,388,OK
T27,Region | Midwest,482,OK
T27,Region | South,1221,OK
T27,Region | West,463,OK
T27,Income | Lower income,832,OK
T27,Income | Middle income,1152,OK
T27,Income | Upper income,461,OK
T28,Age | 18-29,419,OK
T28,Age | 30-49,1191,OK
T28,Age | 50-64,669,OK
T28,Age | 65+,266,OK
T28,Gender | A man,788,OK
T28,Gender | A woman,1729,OK
T28,Gender | In some other way,32*,SMALL BASE
T28,Education | College graduate+,1065,OK
T28,Education | Some College,862,OK
T28,Education | H.S. graduate or less,619,OK
T28,Region | Northeast,387,OK
T28,Region | Midwest,482,OK
T28,Region | South,1221,OK
T28,Region | West,462,OK
T28,Income | Lower income,832,OK
T28,Income | Middle income,1150,OK
T28,Income | Upper income,460,OK
