table_id,platform,banner,category,unweighted_n,effective_n,weighting_deff
T07,Facebook,Education,Some College,2313,980.2242905622205,2.359664030232661
T07,Facebook,Education,H.S. graduate or less,1365,656.8391535170291,2.0781343388120836
T07,Facebook,Region,Northeast,1174,501.6700300190091,2.340183646121964
T07,Facebook,Region,Midwest,1591,671.4549172775503,2.3694814931891397
T07,Facebook,Region,South,2853,1131.4878077017681,2.521458897374155
T07,Facebook,Region,West,1522,651.9270244491,2.3346171318578803
T07,Facebook,Income,Lower income,1652,644.1094531257925,2.5647814854804962
T07,Facebook,Income,Middle income,3513,1582.4945355791835,2.21991287869709
T07,Facebook,Income,Upper income,1594,918.2505142032394,1.735909727622755
T08,Instagram,Total,Total,4489,1668.3051450776254,2.6907547538559733
T08,Instagram,Age,18-29,541,293.26061879124717,1.8447754841065178
T08,Instagram,Age,30-49,1962,746.79665904859,2.627221180260186
T08,Instagram,Age,50-64,1219,657.4713620636925,1.8540731510704331
T08,Instagram,Age,65+,761,396.269072941161,1.920412295493459
T08,Instagram,Gender,A man,1600,561.2759841013932,2.85064753404978
T08,Instagram,Gender,A woman,2835,1126.8681346253657,2.5158223157517123
T08,Instagram,Gender,In some other way,44,24.04541108297973,1.8298709823740504
T08,Instagram,Education,College graduate+,2422,1191.4803077474126,2.0327654466895737
T08,Instagram,Education,Some College,1329,511.78251479435437,2.596806185404794
T08,Instagram,Education,H.S. graduate or less,723,316.9620562840924,2.2810301285778407
T08,Instagram,Region,Northeast,781,327.1608652579572,2.387204836936115
T08,Instagram,Region,Midwest,849,313.35409497609146,2.7093949420535823
T08,Instagram,Region,South,1801,601.6052897696073,2.993657187904243
T08,Instagram,Region,West,1055,429.63311221279696,2.4555835432848556
T08,Instagram,Income,Lower income,995,391.2051206740288,2.5434227401871934
T08,Instagram,Income,Middle income,2170,813.9304289197695,2.6660755304110895
T08,Instagram,Income,Upper income,1100,517.2858284187365,2.1264839273918086
T09,Instagram,Total,Total,4497,1669.3071717338555,2.6939319953493706
T09,Instagram,Age,18-29,541,293.26061879124717,1.8447754841065178
T09,Instagram,Age,30-49,1967,747.9790903784569,2.629752656594654
T09,Instagram,Age,50-64,1216,655.0447892139592,1.856361610721575
T09,Instagram,Age,65+,767,399.2153799195314,1.92126866493621
T09,Instagram,Gender,A man,1602,561.6623262066823,2.8522475609490865
T09,Instagram,Gender,A woman,2841,1127.686595762532,2.519316989911492
T09,Instagram,Gender,In some other way,44,24.04541108297973,1.8298709823740504
T09,Instagram,Education,College graduate+,2423,1191.7079273418085,2.0332163145081013
T09,Instagram,Education,Some College,1334,512.9663748854891,2.600560319958189
T09,Instagram,Education,H.S. graduate or less,725,317.2928243176222,2.2849555503160306
T09,Instagram,Region,Northeast,781,327.1608652579572,2.387204836936115
T09,Instagram,Region,Midwest,850,313.6095647256308,2.7103765178324326
T09,Instagram,Region,South,1806,601.7374440100801,3.0013089894564486
